Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,273.350006,274.399994,268.619995,270.489990,258.889862,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,259.330200,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,258.832458,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,252.362381,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,246.983398,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,253.740601,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,249.424026,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,248.686996,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,251.864670,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,246.428253,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,249.586731,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,252.257080,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,254.247894,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,248.581741,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,249.806839,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,253.778854,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,252.448532,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,254.525452,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,253.778854,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,255.865387,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,258.602722,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,258.794159,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,257.358521,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,255.176270,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,255.138000,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,251.701965,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,252.324051,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,254.889160,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,255.128433,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,253.166336,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,253.616180,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,251.912537,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,251.357407,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,254.611557,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,255.472992,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,255.472992,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,257.942383,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,260.354279,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,261.148682,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,261.273163,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,259.473755,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,260.564850,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,260.344696,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,259.693817,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,261.646362,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,260.918915,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,261.636780,64694200
2018-05-24,272.910004,273.220001,270.779999,272.799988,261.100800,76043800
2018-05-25,272.149994,272.859985,271.579987,272.149994,260.478699,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,257.482880,115908600
2018-05-30,270.500000,273.109985,270.420013,272.609985,260.918915,69678400
